,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,img_l,cover_page
0,0,0,0,0,0,0,http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg,a close up of a book cover with two women
1,1,1,1,1,1,1,http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg,the story of the great influence of the pandemic in the world of war and the search
2,2,2,2,2,2,2,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg,9
3,3,3,3,3,3,3,http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg,a poster for the movie night's below station street
4,4,4,4,4,4,4,http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg,a poster for a chicken soup for the woman's soul
5,5,5,5,5,5,5,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg,a book cover of the testament
6,6,6,6,6,6,6,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg,beloved by toni morrison
7,7,7,7,7,7,7,http://images.amazon.com/images/P/0609804618.01.LZZZZZZZ.jpg,a close up of a newspaper with a bunch of headlines on it
8,8,8,8,8,8,8,http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg,a close up of a plate of food with a fork and knife
9,9,9,9,9,9,9,http://images.amazon.com/images/P/0439095026.01.LZZZZZZZ.jpg,a cartoon book cover of tell me this isn't happening
10,10,10,10,10,10,10,http://images.amazon.com/images/P/0971880107.01.LZZZZZZZ.jpg,a close up of a poster with a painting of a clock
11,11,11,11,11,11,11,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg,airframe by michael crichton
12,12,12,12,12,12,12,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg,a book cover of time line by michael crichton
13,13,13,13,13,13,13,http://images.amazon.com/images/P/0312978383.01.LZZZZZZZ.jpg,a book cover of winter solstice
14,14,14,14,14,14,14,http://images.amazon.com/images/P/0425099148.01.LZZZZZZZ.jpg,death in the clouds by agatha gitta
15,15,15,15,15,15,15,http://images.amazon.com/images/P/0553264990.01.LZZZZZZZ.jpg,a book cover of the last of the breed
16,16,16,16,16,16,16,http://images.amazon.com/images/P/0553278398.01.LZZZZZZZ.jpg,the cover of the book asmov prelude to foundation
17,17,17,17,17,17,17,http://images.amazon.com/images/P/0684823802.01.LZZZZZZZ.jpg,out of the silent planet by c s lewis
18,18,18,18,18,18,18,http://images.amazon.com/images/P/0891075275.01.LZZZZZZZ.jpg,a book cover of piercing the darkness
19,19,19,19,19,19,19,http://images.amazon.com/images/P/0891076182.01.LZZZZZZZ.jpg,a book cover of the prophet
20,20,20,20,20,20,20,http://images.amazon.com/images/P/0375759778.01.LZZZZZZZ.jpg,prague a novel by arthur phillips
21,21,21,21,21,21,21,http://images.amazon.com/images/P/0425163091.01.LZZZZZZZ.jpg,chocolate jesus by stephen jarami
22,22,22,22,22,22,22,http://images.amazon.com/images/P/0375406328.01.LZZZZZZZ.jpg,a close up of a book cover with a person walking down a hallway
23,23,23,23,23,23,23,http://images.amazon.com/images/P/0446310786.01.LZZZZZZZ.jpg,a close up of a book cover with a silhouette of a person holding a bird
24,24,24,24,24,24,24,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg,a book cover of seabiscuit america's best race
25,25,25,25,25,25,25,http://images.amazon.com/images/P/0060168013.01.LZZZZZZZ.jpg,9
26,26,26,26,26,26,26,http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg,a book cover of miss zuka's raven's dance
27,27,27,27,27,27,27,http://images.amazon.com/images/P/0061099686.01.LZZZZZZZ.jpg,down town by anne rivers
28,28,28,28,28,28,28,http://images.amazon.com/images/P/0553582909.01.LZZZZZZZ.jpg,icebound by dean koonttz
29,29,29,29,29,29,29,http://images.amazon.com/images/P/0671888587.01.LZZZZZZZ.jpg,a close up of a person walking on a beach with a suitcase
30,30,30,30,30,30,30,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg,a book cover of from the corner of this eye
31,31,31,31,31,31,31,http://images.amazon.com/images/P/0425182908.01.LZZZZZZZ.jpg,a book cover of a tale of the boy
32,32,32,32,32,32,32,http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg,a book cover of purity in death
33,33,33,33,33,33,33,http://images.amazon.com/images/P/0440223571.01.LZZZZZZZ.jpg,a book cover of this year it will be different
34,34,34,34,34,34,34,http://images.amazon.com/images/P/0842342702.01.LZZZZZZZ.jpg,left behind a novel of the sun and the last day
35,35,35,35,35,35,35,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg,the street lawyer by john grishaam
36,36,36,36,36,36,36,http://images.amazon.com/images/P/0060914068.01.LZZZZZZZ.jpg,9
37,37,37,37,37,37,37,http://images.amazon.com/images/P/0156047624.01.LZZZZZZZ.jpg,9
38,38,38,38,38,38,38,http://images.amazon.com/images/P/0380715899.01.LZZZZZZZ.jpg,a soldier of the great war by mark heppin
39,39,39,39,39,39,39,http://images.amazon.com/images/P/0671623249.01.LZZZZZZZ.jpg,9
40,40,40,40,40,40,40,http://images.amazon.com/images/P/0679810307.01.LZZZZZZZ.jpg,a book cover of shabanu daughter of the wind
41,41,41,41,41,41,41,http://images.amazon.com/images/P/0679865691.01.LZZZZZZZ.jpg,a woman in a pink dress standing in an archway
42,42,42,42,42,42,42,http://images.amazon.com/images/P/0345260317.01.LZZZZZZZ.jpg,9
43,43,43,43,43,43,43,http://images.amazon.com/images/P/042511774X.01.LZZZZZZZ.jpg,a book cover of breathing lessons
44,44,44,44,44,44,44,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg,978 cover of the joy luck club by amyn
45,45,45,45,45,45,45,http://images.amazon.com/images/P/1853262404.01.LZZZZZZZ.jpg,arafed image of a man in a canoe with a bow and arrow
46,46,46,46,46,46,46,http://images.amazon.com/images/P/1853260053.01.LZZZZZZZ.jpg,a close up of a painting of a person on a tree
47,47,47,47,47,47,47,http://images.amazon.com/images/P/0060938412.01.LZZZZZZZ.jpg,the accidental virgin by valerie frank
48,48,48,48,48,48,48,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg,the taoo pooh book cover
49,49,49,49,49,49,49,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg,a book cover of seabiscuit an american legend
50,50,50,50,50,50,50,http://images.amazon.com/images/P/1558531025.01.LZZZZZZZ.jpg,arafed plaid book cover with a white sign on it
51,51,51,51,51,51,51,http://images.amazon.com/images/P/0441783589.01.LZZZZZZZ.jpg,a green book cover with a cross and a yellow arrow
52,52,52,52,52,52,52,http://images.amazon.com/images/P/0394895894.01.LZZZZZZZ.jpg,a picture of a book cover of the ruby in the smoke
53,53,53,53,53,53,53,http://images.amazon.com/images/P/0375410538.01.LZZZZZZZ.jpg,anil's ghost by michael ondatie
54,54,54,54,54,54,54,http://images.amazon.com/images/P/087113375X.01.LZZZZZZZ.jpg,a yellow book cover with a picture of a horse on it
